屋号,住所,業種,許可日,エリア,スコア,自治体,_source_file
CRAFT & FARMERS KITTE丸の内店,東京都千代田区丸の内２丁目７−２,① 飲食店営業,2026-07-14,代田,,東京都,13101_food_business_all.csv
肉アバンギャルド,東京都千代田区神田佐久間町二丁目８番,① 飲食店営業,2026-07-14,代田,,東京都,13101_food_business_all.csv
しまね移住相談会in東京,東京都千代田区有楽町2丁目10−1,① 飲食店営業,2026-07-11,代田,,東京都,13101_food_business_all.csv
近畿大学水産研究所　はなれ,東京都千代田区丸の内一丁目9番1号　グランスタ東京1階,① 飲食店営業,2026-07-08,代田,,東京都,13101_food_business_all.csv
すずのおむすび一ツ橋店,東京都千代田区一ツ橋１丁目1番1号,① 飲食店営業,2026-07-02,代田,,東京都,13101_food_business_all.csv
スシロー有楽町店,東京都千代田区有楽町一丁目11番1号,① 飲食店営業,2026-06-30,代田,,東京都,13101_food_business_all.csv
あいぱくTOKYO,東京都千代田区有楽町一丁目1番2号,① 飲食店営業,2026-06-30,代田,,東京都,13101_food_business_all.csv
Room Ippodo,東京都千代田区麹町3-7-2,① 飲食店営業,2026-06-19,代田,,東京都,13101_food_business_all.csv
WithGreenメトロピア有楽町,東京都千代田区有楽町1丁目11番６号,① 飲食店営業,2026-06-19,代田,,東京都,13101_food_business_all.csv
KollaBo×マンジョッオヒャンジョッパル＆ソベッチャカンジャンケジャン  虎ノ門店,東京都千代田区霞が関3-2-6　東京俱楽部ビルディング,① 飲食店営業,2026-06-16,代田,,東京都,13101_food_business_all.csv
そばいち神田店,東京都千代田区鍛冶町二丁目13番1号,① 飲食店営業,2026-06-12,代田,,東京都,13101_food_business_all.csv
丸亀製麺飯田橋サクラテラス,東京都千代田区富士見二丁目10番2号,① 飲食店営業,2026-06-10,代田,,東京都,13101_food_business_all.csv
