No.,施設所在地,施設方書,施設屋号,営業者名,営業所電話番号,許可番号,業種,初回許可日,許可開始日,許可満了日
1,東京都世田谷区若林一丁目２番３号,プラチナコート三軒茶屋Ｂ１,とんかつもとこ,株式会社アンティアチョムアニマ,-,8世保生食ほ第549号,食肉販売業,令和8年7月8日,令和8年7月8日,令和15年7月31日
2,東京都世田谷区若林三丁目１５番３１号,１階,ＭＣ　ＣＲＡＦＴＹ　株式会社,ＭＣ　ＣＲＡＦＴＹ株式会社,-,8世保生食ほ第656号,飲食店営業,令和8年7月28日,令和8年7月28日,令和14年7月31日
3,東京都世田谷区若林三丁目１５番３１号,１階,ＭＣ　ＣＲＡＦＴＹ　株式会社,ＭＣ　ＣＲＡＦＴＹ株式会社,-,8世保生食ほ第657号,菓子製造業,令和8年7月28日,令和8年7月28日,令和14年7月31日
4,東京都世田谷区若林三丁目１５番３１号,１階,ＭＣ　ＣＲＡＦＴＹ　株式会社,ＭＣ　ＣＲＡＦＴＹ株式会社,-,8世保生食ほ第658号,漬物製造業,令和8年7月28日,令和8年7月28日,令和14年7月31日
5,東京都世田谷区世田谷一丁目２８番１６号,-,和風レストラン　やまぐち,***,03-3425-3906,8世保生食ほ第445号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
6,東京都世田谷区世田谷四丁目１７番６号,-,Ｃｉｔｙ,***,-,8世保生食ほ第541号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
7,東京都世田谷区桜丘三丁目６番５号,-,都寿司,***,3429-3031,8世保生食ほ第501号,飲食店営業,令和8年7月2日,令和8年7月2日,令和14年7月31日
8,東京都世田谷区経堂一丁目１８番６号,-,Ａｇｉｒ,合同会社Ｊｉｔｔｏ,-,8世保生食ほ第671号,飲食店営業,令和8年7月27日,令和8年7月27日,令和15年7月31日
9,東京都世田谷区経堂二丁目１０番１０号,ＭＫメゾン１０２,麦そば　山口,***,-,8世保生食ほ第630号,飲食店営業,令和8年7月30日,令和8年7月30日,令和15年7月31日
10,東京都世田谷区経堂三丁目３８番３号,-,牛鉄本店,有限会社山道,3426-6014,8世保生食ほ第370号,食肉販売業,令和8年7月1日,令和8年7月1日,令和14年6月30日
11,東京都世田谷区池尻三丁目１１番６号,Ｕｎｆｒａｍｅ　１Ｆ,Ｃａｄｅｌｉ,株式会社美菜屋,03-4363-6410,8世保生食ほ第584号,飲食店営業,令和8年7月23日,令和8年7月23日,令和14年7月31日
12,東京都世田谷区三宿一丁目４番２４号,-,ＭＩＣ菓子・パン研究所,株式会社ＭＩＣ菓子・パン研究所,03-6450-9725,8世保生食ほ第335号,飲食店営業,令和8年7月8日,令和8年7月8日,令和15年7月31日
13,東京都世田谷区三宿一丁目４番２４号,-,ＭＩＣ菓子・パン研究所,株式会社ＭＩＣ菓子・パン研究所,03-6450-9725,8世保生食ほ第336号,菓子製造業,令和8年7月8日,令和8年7月8日,令和15年7月31日
14,東京都世田谷区下馬一丁目１７番８号,-,はがくれ,***,3424-9195,8世保生食ほ第278号,飲食店営業,令和8年7月1日,令和8年7月1日,令和14年6月30日
15,東京都世田谷区下馬二丁目２０番２号,マガザン三軒茶屋１Ｆ,－ＦＯＳＳＡ－,***,-,8世保生食ほ第664号,菓子製造業,令和8年7月31日,令和8年7月31日,令和15年7月31日
