No.,施設所在地,施設方書,施設屋号,営業者名,営業所電話番号,許可番号,業種,初回許可日,許可開始日,許可満了日
1,東京都世田谷区若林一丁目１番２号,-,手打蕎麦　里り,***,-,4世保生食ほ第1792号,飲食店営業,令和5年4月25日,令和5年4月25日,令和11年4月30日
2,東京都世田谷区若林一丁目２番３号,プラチナムコート１Ｆ,Ｓｈｅｒｒｙ,***,5432-9528,31世保生食ほ第1175号,飲食店営業,令和元年9月13日,令和元年9月13日,令和8年9月30日
3,東京都世田谷区若林一丁目２番３号,プラチナコート三軒茶屋Ｂ１Ｆ,和食レストラン真こう,合同会社真洸商会,03-6453-4554,2世保生食ほ第774号,飲食店営業,令和2年8月5日,令和2年8月5日,令和9年8月31日
4,東京都世田谷区若林一丁目２番３号,プラチナコート三軒茶屋Ｂ１,とんかつもとこ,株式会社アンティアチョムアニマ,-,6世保生食ほ第881号,飲食店営業,令和6年9月20日,令和6年9月20日,令和13年9月30日
5,東京都世田谷区若林一丁目５番１号,２Ａ,ＰＯＰＯＥ　ｔｈｅ　ｂａｋｅ　ｓｈｏｐ,株式会社ハートリッツ,-,5世保生食ほ第1156号,菓子製造業,令和5年10月30日,令和5年10月30日,令和12年10月31日
6,東京都世田谷区若林一丁目７番３号,-,ナチュラルローソン若林一丁目店,株式会社スズセン,03-5779-0343,31世保生食ほ第1003号,飲食店営業,平成24年8月31日,令和元年9月1日,令和8年8月31日
7,東京都世田谷区若林一丁目７番３号,-,ナチュラルローソン若林一丁目店,株式会社スズセン,03-5779-0343,31世保生食ほ第1004号,菓子製造業,平成24年8月31日,令和元年9月1日,令和8年8月31日
8,東京都世田谷区若林一丁目８番８号,デンス河野１Ｆ,Ｊｕｎｃ　ｄｅ　ｃｏｔｅ　ｃｏｔｅ,***,03-3410-7514,7世保生食ほ第1713号,飲食店営業,令和8年4月1日,令和8年4月1日,令和14年3月31日
9,東京都世田谷区若林一丁目８番８号,デンス河野１０３,Ｊｅｗｅｌｌｅｒ’ｓ　ｃａｆｅ　Ｃｏｕｒｉｅｒ,***,03-6450-7860,3世保生食ほ第1567号,飲食店営業,令和3年12月1日,令和3年12月1日,令和9年11月30日
10,東京都世田谷区若林一丁目８番８号,デンス河野ビル１０２,サラヴァ,***,03-3410-7514,2世保生食ほ第1954号,飲食店営業,平成27年1月21日,令和3年2月1日,令和9年1月31日
11,東京都世田谷区若林一丁目８番８号,デニス河野Ｂ１（左側）,寿し忠,***,03-3424-2048,2世保生食ほ第194号,飲食店営業,令和2年5月14日,令和2年5月14日,令和9年5月31日
12,東京都世田谷区若林一丁目９番１４号,-,若林キッチン,チャントトリップ合同会社,-,7世保生食ほ第1802号,飲食店営業,令和8年4月1日,令和8年4月1日,令和14年3月31日
13,東京都世田谷区若林一丁目９番１４号,-,若林キッチン,チャントトリップ合同会社,-,7世保生食ほ第1803号,菓子製造業,令和8年4月1日,令和8年4月1日,令和14年3月31日
14,東京都世田谷区若林一丁目１１番１０号,-,世田谷２３３,有限会社パング,03-5430-8539,3世保生食ほ第266号,喫茶店営業,平成15年5月13日,令和3年6月1日,令和9年5月31日
15,東京都世田谷区若林一丁目１６番１号,ディーガーデン１階,香乃,***,6311-0659,31世保生食ほ第2891号,飲食店営業,平成25年3月6日,令和2年4月1日,令和9年3月31日
16,東京都世田谷区若林一丁目１７番３号,シンシア　フォーＤサンゲンヂャヤＢ１,ラヂヲデイズ,***,3414-5131,31世保生食ほ第1402号,飲食店営業,平成18年10月10日,令和元年11月1日,令和8年10月31日
17,東京都世田谷区若林一丁目１７番３号,シンシアフォーディ三軒茶屋１０２,お料理　お蕎麦　石竹,***,03-6805-5553,4世保生食ほ第1816号,飲食店営業,令和5年4月1日,令和5年4月1日,令和12年3月31日
18,東京都世田谷区若林一丁目１７番３号,シンシア　フォーＤ　三軒茶屋　Ｂ１０２,フォルツァ　ドンナ　Ⅱ,アクティブフットワーク株式会社,03-5432-9998,6世保生食ほ第1705号,飲食店営業,令和7年3月1日,令和7年3月1日,令和13年2月28日
19,東京都世田谷区若林一丁目１７番３号,Ｂ１　１０１,ｃｈｉｌｌ＋ｄｒａｉｎ　２４４,株式会社ＮＦＣ,03-6453-2446,5世保生食ほ第853号,飲食店営業,令和5年9月19日,令和5年9月19日,令和12年9月30日
20,東京都世田谷区若林一丁目１７番５号,-,ＭＡＲＵＮＯＷＡ　Ｃｈｉｌｄｒｅｎ’ｓ　ｌａｂｏ,株式会社和音人,03-5787-8859,3世保生食ほ第580号,食肉販売業,令和3年6月9日,令和3年6月9日,令和10年6月30日
21,東京都世田谷区若林一丁目１７番５号,-,ＭＡＲＵＮＯＷＡ　Ｃｈｉｌｄｒｅｎ’ｓ　ｌａｂｏ,株式会社和音人,03-5787-8859,3世保生食ほ第581号,菓子製造業,令和3年6月9日,令和3年6月9日,令和10年6月30日
22,東京都世田谷区若林一丁目１７番５号,-,ＭＡＲＵＮＯＷＡ　Ｃｈｉｌｄｒｅｎ’ｓ　ｌａｂｏ,株式会社和音人,03-5787-8859,3世保生食ほ第582号,そうざい製造業,令和3年6月9日,令和3年6月9日,令和10年6月30日
23,東京都世田谷区若林一丁目２４番９号,きせきビル１Ｆ,ひより,***,03-5787-6639,7世保生食ほ第1267号,飲食店営業,令和8年1月1日,令和8年1月1日,令和14年12月31日
24,東京都世田谷区若林一丁目２４番９号,ＫＥＩビル１階,株式会社東果堂,株式会社東果堂,6804-0721,2世保生食ほ第597号,飲食店営業,令和2年8月7日,令和2年8月7日,令和9年8月31日
25,東京都世田谷区若林一丁目２４番９号,ＫＥＩビル１階,株式会社東果堂,株式会社東果堂,6804-0721,2世保生食ほ第598号,菓子製造業,令和2年8月7日,令和2年8月7日,令和9年8月31日
26,東京都世田谷区若林一丁目２４番９号,ＫＥＩビル１階,株式会社東果堂,株式会社東果堂,6804-0721,2世保生食ほ第599号,そうざい製造業,令和2年8月7日,令和2年8月7日,令和9年8月31日
27,東京都世田谷区若林一丁目２９番１２号,ＫＹフラット１Ｆ,ＭＡＮＺＯ,有限会社マンゾオフィス,03-5430-1084,31世保生食ほ第2687号,飲食店営業,平成8年5月22日,令和2年6月1日,令和8年5月31日
28,東京都世田谷区若林一丁目３３番６号,-,よつば保育園,株式会社ＬＥＯＣ,03-5430-0428,2世保生食ほ第2718号,飲食店営業,令和3年3月26日,令和3年3月26日,令和10年3月31日
29,東京都世田谷区若林二丁目３１番１２号,-,ａｗａｓｈｉｍａ１０２ｂｉｓｔｒｏ,***,03-6413-8911,31世保生食ほ第1253号,飲食店営業,令和元年9月19日,令和元年9月19日,令和8年9月30日
30,東京都世田谷区若林二丁目３２番１５号,-,セブンイレブン若林陸橋店,***,03-3413-9585,31世保生食ほ第356号,飲食店営業,令和元年5月24日,令和元年5月24日,令和8年5月31日
31,東京都世田谷区若林二丁目３２番１５号,-,セブンイレブン若林陸橋店,***,03-3413-9585,31世保生食ほ第357号,菓子製造業,令和元年5月24日,令和元年5月24日,令和8年5月31日
32,東京都世田谷区若林二丁目３８番１１号,１Ｆ,ａｔｔｉｃ　ＦＵＲＮＩＴＵＲＥ,株式会社アティックプラニング,03-6805-3980,2世保生食ほ第2012号,飲食店営業,平成27年1月14日,令和3年2月1日,令和9年1月31日
33,東京都世田谷区若林二丁目３８番１１号,若林１０１,玉川精肉店,株式会社ＤｅｓｉｇｎＴＵＮＥ,03-6417-9838,7世保生食ほ第926号,飲食店営業,令和7年9月30日,令和7年9月30日,令和14年9月30日
34,東京都世田谷区若林二丁目３８番１１号,若林１０１,玉川精肉店,株式会社ＤｅｓｉｇｎＴＵＮＥ,03-6417-9838,7世保生食ほ第927号,食肉販売業,令和7年9月30日,令和7年9月30日,令和14年9月30日
35,東京都世田谷区若林二丁目３８番１１号,若林１０１,玉川精肉店,株式会社ＤｅｓｉｇｎＴＵＮＥ,03-6417-9838,7世保生食ほ第928号,そうざい製造業,令和7年9月30日,令和7年9月30日,令和14年9月30日
36,東京都世田谷区若林二丁目３９番２号,三甲東京ビル１Ｆ,カラオケ喫茶　花の木,***,03-3419-2637,4世保生食ほ第1969号,飲食店営業,令和5年5月1日,令和5年5月1日,令和11年4月30日
37,東京都世田谷区若林二丁目４１番１号,-,ＣＲＡＺＹ　ＭＡＭＡ,***,03-5787-6614,2世保生食ほ第265号,飲食店営業,令和2年5月8日,令和2年5月8日,令和8年5月31日
38,東京都世田谷区若林三丁目３番１６号,パシフィック若林Ｂ１Ａ号室,ＰＡＲＩＹＡ　セントラルキッチン,株式会社巴里屋,03-5787-6248,31世保生食ほ第1184号,そうざい製造業,令和元年10月7日,令和元年10月7日,令和9年10月31日
39,東京都世田谷区若林三丁目３番１６号,パシフィック若林Ｂ１Ｆ　Ａ室,ＨＵＧＥ　ＬＡＢＯ,株式会社ＨＵＧＥ,03-6632-8880,3世保生食ほ第936号,菓子製造業,令和3年8月18日,令和3年8月18日,令和10年8月31日
40,東京都世田谷区若林三丁目３番１６号,パシフィック若林Ｂ１Ｆ　Ａ室,ＨＵＧＥ　ＬＡＢＯ,株式会社ＨＵＧＥ,03-6632-8880,3世保生食ほ第937号,そうざい製造業,令和3年8月18日,令和3年8月18日,令和10年8月31日
41,東京都世田谷区若林三丁目１５番１号,若林ビラージュ１０１,麺通　若林店,株式会社麺通,03-3414-1123,3世保生食ほ第1365号,麺類製造業,令和3年11月1日,令和3年11月1日,令和9年10月31日
42,東京都世田谷区若林三丁目１５番１号,-,まごわやさしい,株式会社自然回帰,03-6804-0581,4世保生食ほ第981号,飲食店営業,令和4年9月22日,令和4年9月22日,令和11年9月30日
43,東京都世田谷区若林三丁目１５番３号,-,浅草もんじゃ　土蛍,株式会社ユリシス,03-5779-3305,6世保生食ほ第1787号,飲食店営業,令和7年4月1日,令和7年4月1日,令和14年3月31日
44,東京都世田谷区若林三丁目１５番６号,エクセル若林,ＤＡＫＩＮＥ,株式会社ＭＡＫ’Ｓ,03-6453-4913,7世保生食ほ第1300号,飲食店営業,令和8年1月1日,令和8年1月1日,令和14年12月31日
45,東京都世田谷区若林三丁目１５番６号,エクセル若林１Ｆ,ＳＥＴＡＧＡＹＡ　ｋｏｄｏ’ｓ,ＡＬＯＨＡＴＯＫＹＯ株式会社,-,31世保生食ほ第419号,飲食店営業,令和元年10月11日,令和元年10月11日,令和8年10月31日
46,東京都世田谷区若林三丁目１６番１号,フジビル１階Ｂ,お肉ダイニングバー　Ｇｒａｖｙ,***,-,4世保生食ほ第185号,飲食店営業,令和4年6月1日,令和4年6月1日,令和10年5月31日
47,東京都世田谷区若林三丁目１７番１号,-,コロラド松陰神社店,***,03-3410-8923,3世保生食ほ第1668号,飲食店営業,令和4年1月1日,令和4年1月1日,令和9年12月31日
48,東京都世田谷区若林三丁目１７番３号,-,ｐｏｒｔｌａｔｅ　ｃａｆｅ,株式会社ポートレート,03-3410-6608,2世保生食ほ第688号,飲食店営業,令和2年7月22日,令和2年7月22日,令和8年7月31日
