屋号,住所,方書,エリア,業種,許可番号,初回許可日,許可開始日,判定,チェーン名,出典月,地図,検索
夢吟坊　下北沢店,東京都世田谷区北沢二丁目33番7号,芳澤ビル1F,北沢,飲食店営業,8世保生食ほ第495号,2026-07-31,2026-07-31,チェーン,夢吟坊,令和8年7月,https://www.google.com/maps/search/?api=1&query=%E5%A4%A2%E5%90%9F%E5%9D%8A%20%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE33%E7%95%AA7%E5%8F%B7,https://www.google.com/search?q=%E5%A4%A2%E5%90%9F%E5%9D%8A%20%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE33%E7%95%AA7%E5%8F%B7
ＯＣＨＥＲ,東京都世田谷区北沢二丁目23番2号,ポルテ下北沢2F,北沢,飲食店営業,7世保生食ほ第1933号,2026-07-17,2026-07-17,個店,,令和8年7月,https://www.google.com/maps/search/?api=1&query=OCHER%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE23%E7%95%AA2%E5%8F%B7,https://www.google.com/search?q=OCHER%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE23%E7%95%AA2%E5%8F%B7
ｃａｎｐｙ,東京都世田谷区北沢二丁目23番12号,Mビル1F,北沢,飲食店営業,8世保生食ほ第525号,2026-07-10,2026-07-10,個店,,令和8年7月,https://www.google.com/maps/search/?api=1&query=canpy%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE23%E7%95%AA12%E5%8F%B7,https://www.google.com/search?q=canpy%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE23%E7%95%AA12%E5%8F%B7
魚えもん下北沢店,東京都世田谷区北沢二丁目14番8号,ミナミビルB1F,北沢,飲食店営業,8世保生食ほ第475号,2026-07-10,2026-07-10,チェーン,魚えもん,令和8年7月,https://www.google.com/maps/search/?api=1&query=%E9%AD%9A%E3%81%88%E3%82%82%E3%82%93%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE14%E7%95%AA8%E5%8F%B7,https://www.google.com/search?q=%E9%AD%9A%E3%81%88%E3%82%82%E3%82%93%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE14%E7%95%AA8%E5%8F%B7
ｃａｆｅｇａｒａｇｅ　Ｄｏｇｂｅｒｒｙ,東京都世田谷区北沢二丁目29番16号,高木ビル1階,北沢,飲食店営業,8世保生食ほ第295号,2026-07-01,2026-07-01,更新,,令和8年7月,https://www.google.com/maps/search/?api=1&query=cafegarage%20Dogberry%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE29%E7%95%AA16%E5%8F%B7,https://www.google.com/search?q=cafegarage%20Dogberry%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE29%E7%95%AA16%E5%8F%B7
Ｌｅ　Ｇｒａｎｄ　ｃａｒｔ,東京都世田谷区北沢二丁目9番13号,岸田4号館A,北沢,飲食店営業,8世保生食ほ第434号,2026-07-01,2026-07-01,更新,,令和8年7月,https://www.google.com/maps/search/?api=1&query=Le%20Grand%20%EE%89%82cart%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE9%E7%95%AA13%E5%8F%B7,https://www.google.com/search?q=Le%20Grand%20%EE%89%82cart%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE9%E7%95%AA13%E5%8F%B7
Ｃａｔｅｒｉａｍ,東京都世田谷区北沢二丁目26番6号,モンブランビル 2F,北沢,飲食店営業,8世保生食ほ第402号,2026-07-01,2026-07-01,更新,,令和8年7月,https://www.google.com/maps/search/?api=1&query=Cateriam%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE26%E7%95%AA6%E5%8F%B7,https://www.google.com/search?q=Cateriam%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE26%E7%95%AA6%E5%8F%B7
星乃珈琲店　スフレ館　下北沢店,東京都世田谷区北沢二丁目12番12号,桑田ビルB1F,北沢,飲食店営業,8世保生食ほ第430号,2026-07-01,2026-07-01,更新,星乃珈琲店,令和8年7月,https://www.google.com/maps/search/?api=1&query=%E6%98%9F%E4%B9%83%E7%8F%88%E7%90%B2%E5%BA%97%20%E3%82%B9%E3%83%95%E3%83%AC%E9%A4%A8%20%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE12%E7%95%AA12%E5%8F%B7,https://www.google.com/search?q=%E6%98%9F%E4%B9%83%E7%8F%88%E7%90%B2%E5%BA%97%20%E3%82%B9%E3%83%95%E3%83%AC%E9%A4%A8%20%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE12%E7%95%AA12%E5%8F%B7
元気七輪焼肉　牛繁下北沢店,東京都世田谷区北沢二丁目34番10号,ミチルビル1,北沢,飲食店営業,8世保生食ほ第515号,2026-07-01,2026-07-01,更新,牛繁,令和8年7月,https://www.google.com/maps/search/?api=1&query=%E5%85%83%E6%B0%97%E4%B8%83%E8%BC%AA%E7%84%BC%E8%82%89%20%E7%89%9B%E7%B9%81%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE34%E7%95%AA10%E5%8F%B7,https://www.google.com/search?q=%E5%85%83%E6%B0%97%E4%B8%83%E8%BC%AA%E7%84%BC%E8%82%89%20%E7%89%9B%E7%B9%81%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE34%E7%95%AA10%E5%8F%B7
下北居酒屋　ひげちょうちん,東京都世田谷区北沢二丁目19番5号,大塚ビル1・2F,北沢,飲食店営業,8世保生食ほ第443号,2026-07-01,2026-07-01,更新,,令和8年7月,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E5%8C%97%E5%B1%85%E9%85%92%E5%B1%8B%20%E3%81%B2%E3%81%92%E3%81%A1%E3%82%87%E3%81%86%E3%81%A1%E3%82%93%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE19%E7%95%AA5%E5%8F%B7,https://www.google.com/search?q=%E4%B8%8B%E5%8C%97%E5%B1%85%E9%85%92%E5%B1%8B%20%E3%81%B2%E3%81%92%E3%81%A1%E3%82%87%E3%81%86%E3%81%A1%E3%82%93%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE19%E7%95%AA5%E5%8F%B7
